timestamp,soil_moisture_pct,temperature_c,humidity_pct,growth_stage
01/05/2026 00:00,71.2,18.8,81.2,seed
01/05/2026 01:00,72.3,19.1,80.2,seed
01/05/2026 02:00,71.9,18.8,80.7,seed
01/05/2026 03:00,70.2,20.6,79.2,seed
01/05/2026 04:00,71.5,21.1,77.2,seed
01/05/2026 05:00,70.2,22,76.8,seed
01/05/2026 06:00,69.6,22.4,74.3,seed
01/05/2026 07:00,79.3,24.3,67.5,seed
01/05/2026 08:00,77.8,24.7,67.7,seed
01/05/2026 09:00,79.1,25.1,68.8,seed
01/05/2026 10:00,77.6,26.4,64.3,seed
01/05/2026 11:00,77.2,26.8,65.1,seed
01/05/2026 12:00,79.8,26.4,65.9,seed
01/05/2026 13:00,77.5,27.6,61.6,seed
01/05/2026 14:00,76.9,26.6,65.9,seed
01/05/2026 15:00,75.8,26.2,68.5,seed
01/05/2026 16:00,76.1,25,70.8,seed
01/05/2026 17:00,76.9,23.8,68.4,seed
01/05/2026 18:00,77.8,22.8,68.6,seed
01/05/2026 19:00,74.5,22,75.8,seed
01/05/2026 20:00,75.6,21.9,77.9,seed
01/05/2026 21:00,75.3,20.3,79.3,seed
01/05/2026 22:00,74.8,19.2,79.8,seed
01/05/2026 23:00,76.7,18.5,80.1,seed
02/05/2026 00:00,75,19.5,77.9,seed
02/05/2026 01:00,74.3,19.5,78.6,seed
02/05/2026 02:00,74.9,20.4,78,seed
02/05/2026 03:00,75.9,20.6,77.1,seed
02/05/2026 04:00,72,20.9,80.1,seed
02/05/2026 05:00,74.1,21.9,75.3,seed
02/05/2026 06:00,74.2,22.5,73.7,seed
02/05/2026 07:00,83.1,23.9,71.1,seed
02/05/2026 08:00,83.5,25.2,67.3,seed
02/05/2026 09:00,83.2,25.8,65,seed
02/05/2026 10:00,81,26.8,63.5,seed
02/05/2026 11:00,82.2,26.5,68.7,seed
02/05/2026 12:00,82.5,27.4,61.5,seed
02/05/2026 13:00,81,27.4,63.9,seed
02/05/2026 14:00,80.6,26.2,66.4,seed
02/05/2026 15:00,81.9,25.1,64.1,seed
02/05/2026 16:00,80.4,24.6,66,seed
02/05/2026 17:00,79.8,24.1,70.1,seed
02/05/2026 18:00,81,23.7,72.5,seed
02/05/2026 19:00,79.5,21.7,74.4,seed
02/05/2026 20:00,79.6,20.8,79.4,seed
02/05/2026 21:00,79.1,20.7,77,seed
